"Station","MonthYear","MonthlyRain","Latitude","Longitude"
"Admiralty",2021-06-01,171.4,1.4439,103.7854
"Admiralty",2021-07-01,172.4,1.4439,103.7854
"Admiralty",2021-08-01,382.4,1.4439,103.7854
"Admiralty",2021-09-01,292.4,1.4439,103.7854
"Admiralty",2021-10-01,196,1.4439,103.7854
"Admiralty",2021-11-01,188.4,1.4439,103.7854
"Admiralty",2021-12-01,189,1.4439,103.7854
"Admiralty",2022-01-01,162.4,1.4439,103.7854
"Admiralty",2022-02-01,197.6,1.4439,103.7854
"Admiralty",2022-03-01,382.6,1.4439,103.7854
"Admiralty",2022-04-01,174.9,1.4439,103.7854
"Admiralty",2022-05-01,341.6,1.4439,103.7854
"Admiralty",2022-06-01,279.4,1.4439,103.7854
"Admiralty",2022-07-01,164,1.4439,103.7854
"Admiralty",2022-08-01,321.4,1.4439,103.7854
"Admiralty",2022-09-01,247.6,1.4439,103.7854
"Admiralty",2022-10-01,356,1.4439,103.7854
"Admiralty",2022-11-01,479,1.4439,103.7854
"Admiralty",2022-12-01,212.6,1.4439,103.7854
"Admiralty",2023-01-01,197.8,1.4439,103.7854
"Admiralty",2023-02-01,375,1.4439,103.7854
"Admiralty",2023-03-01,324.4,1.4439,103.7854
"Admiralty",2023-04-01,217.2,1.4439,103.7854
"Admiralty",2023-05-01,84,1.4439,103.7854
"Admiralty",2023-06-01,122.6,1.4439,103.7854
"Admiralty",2023-07-01,125.4,1.4439,103.7854
"Admiralty",2023-08-01,82,1.4439,103.7854
"Admiralty",2023-09-01,207,1.4439,103.7854
"Admiralty",2023-10-01,124.4,1.4439,103.7854
"Admiralty",2023-11-01,211.6,1.4439,103.7854
"Admiralty",2023-12-01,517.4,1.4439,103.7854
"Admiralty",2024-01-01,399.7,1.4439,103.7854
"Admiralty",2024-02-01,153.8,1.4439,103.7854
"Admiralty",2024-03-01,186.6,1.4439,103.7854
"Admiralty",2024-04-01,226.2,1.4439,103.7854
"Admiralty",2024-05-01,142.4,1.4439,103.7854
"Admiralty",2024-06-01,383.4,1.4439,103.7854
"Admiralty",2024-07-01,47.8,1.4439,103.7854
"Admiralty",2024-08-01,168.2,1.4439,103.7854
"Admiralty",2024-09-01,235.2,1.4439,103.7854
"Admiralty",2024-10-01,172,1.4439,103.7854
"Admiralty",2024-11-01,535.4,1.4439,103.7854
"Admiralty",2024-12-01,224.6,1.4439,103.7854
"Admiralty West",2018-04-01,241.8,1.4582,103.7953
"Admiralty West",2018-05-01,205,1.4582,103.7953
"Admiralty West",2018-06-01,151,1.4582,103.7953
"Admiralty West",2018-07-01,109.4,1.4582,103.7953
"Admiralty West",2018-08-01,72.2,1.4582,103.7953
"Admiralty West",2018-09-01,213.2,1.4582,103.7953
"Admiralty West",2018-10-01,260.4,1.4582,103.7953
"Admiralty West",2018-11-01,273.8,1.4582,103.7953
"Admiralty West",2018-12-01,227.4,1.4582,103.7953
"Admiralty West",2019-01-01,107.4,1.4582,103.7953
"Admiralty West",2019-02-01,54.4,1.4582,103.7953
"Admiralty West",2019-03-01,201.8,1.4582,103.7953
"Admiralty West",2019-04-01,217,1.4582,103.7953
"Admiralty West",2019-05-01,243.4,1.4582,103.7953
"Admiralty West",2019-06-01,146.8,1.4582,103.7953
"Admiralty West",2019-07-01,159.6,1.4582,103.7953
"Admiralty West",2019-08-01,47.8,1.4582,103.7953
"Admiralty West",2019-09-01,137.8,1.4582,103.7953
"Admiralty West",2019-10-01,297.8,1.4582,103.7953
"Admiralty West",2019-11-01,202.4,1.4582,103.7953
"Admiralty West",2019-12-01,278.6,1.4582,103.7953
"Admiralty West",2020-01-01,16.8,1.4582,103.7953
"Ang Mo Kio",2018-01-01,333.8,1.3764,103.8492
"Ang Mo Kio",2018-02-01,69.2,1.3764,103.8492
"Ang Mo Kio",2018-03-01,93,1.3764,103.8492
"Ang Mo Kio",2018-04-01,338,1.3764,103.8492
"Ang Mo Kio",2018-05-01,218.8,1.3764,103.8492
"Ang Mo Kio",2018-06-01,253.6,1.3764,103.8492
"Ang Mo Kio",2018-07-01,148.2,1.3764,103.8492
"Ang Mo Kio",2018-08-01,94.4,1.3764,103.8492
"Ang Mo Kio",2018-09-01,286.4,1.3764,103.8492
"Ang Mo Kio",2018-10-01,290.8,1.3764,103.8492
"Ang Mo Kio",2018-11-01,368,1.3764,103.8492
"Ang Mo Kio",2018-12-01,240.4,1.3764,103.8492
"Ang Mo Kio",2019-01-01,109.6,1.3764,103.8492
"Ang Mo Kio",2019-02-01,69.2,1.3764,103.8492
"Ang Mo Kio",2019-03-01,244,1.3764,103.8492
"Ang Mo Kio",2019-04-01,167,1.3764,103.8492
"Ang Mo Kio",2019-05-01,122.4,1.3764,103.8492
"Ang Mo Kio",2019-06-01,149,1.3764,103.8492
"Ang Mo Kio",2019-07-01,61.6,1.3764,103.8492
"Ang Mo Kio",2019-08-01,30.4,1.3764,103.8492
"Ang Mo Kio",2019-09-01,113,1.3764,103.8492
"Ang Mo Kio",2019-10-01,158,1.3764,103.8492
"Ang Mo Kio",2019-11-01,211.6,1.3764,103.8492
"Ang Mo Kio",2019-12-01,220.4,1.3764,103.8492
"Ang Mo Kio",2020-01-01,151.5,1.3764,103.8492
"Ang Mo Kio",2020-02-01,151.4,1.3764,103.8492
"Ang Mo Kio",2020-03-01,42.4,1.3764,103.8492
"Ang Mo Kio",2020-04-01,247.8,1.3764,103.8492
"Ang Mo Kio",2020-05-01,202.4,1.3764,103.8492
"Ang Mo Kio",2020-06-01,245,1.3764,103.8492
"Ang Mo Kio",2020-07-01,220.2,1.3764,103.8492
"Ang Mo Kio",2020-08-01,159.2,1.3764,103.8492
"Ang Mo Kio",2020-09-01,234.6,1.3764,103.8492
"Ang Mo Kio",2020-10-01,148.4,1.3764,103.8492
"Ang Mo Kio",2020-11-01,343.2,1.3764,103.8492
"Ang Mo Kio",2020-12-01,258.2,1.3764,103.8492
"Ang Mo Kio",2021-01-01,487.6,1.3764,103.8492
"Ang Mo Kio",2021-02-01,18,1.3764,103.8492
"Ang Mo Kio",2021-03-01,177.6,1.3764,103.8492
"Ang Mo Kio",2021-04-01,354.6,1.3764,103.8492
"Ang Mo Kio",2021-05-01,272.6,1.3764,103.8492
"Ang Mo Kio",2021-06-01,223.6,1.3764,103.8492
"Ang Mo Kio",2021-07-01,273,1.3764,103.8492
"Ang Mo Kio",2021-08-01,367.8,1.3764,103.8492
"Ang Mo Kio",2021-09-01,310,1.3764,103.8492
"Ang Mo Kio",2021-10-01,221.8,1.3764,103.8492
"Ang Mo Kio",2021-11-01,236.8,1.3764,103.8492
"Ang Mo Kio",2021-12-01,183.2,1.3764,103.8492
"Ang Mo Kio",2022-01-01,234.4,1.3764,103.8492
"Ang Mo Kio",2022-02-01,180.8,1.3764,103.8492
"Ang Mo Kio",2022-03-01,378.8,1.3764,103.8492
"Ang Mo Kio",2022-04-01,296.6,1.3764,103.8492
"Ang Mo Kio",2022-05-01,198.2,1.3764,103.8492
"Ang Mo Kio",2022-06-01,147.2,1.3764,103.8492
"Ang Mo Kio",2022-07-01,139.4,1.3764,103.8492
"Ang Mo Kio",2022-08-01,243.2,1.3764,103.8492
"Ang Mo Kio",2022-09-01,266.2,1.3764,103.8492
"Ang Mo Kio",2022-10-01,366.2,1.3764,103.8492
"Ang Mo Kio",2022-11-01,507.6,1.3764,103.8492
"Ang Mo Kio",2022-12-01,249.4,1.3764,103.8492
"Ang Mo Kio",2023-01-01,205.1,1.3764,103.8492
"Ang Mo Kio",2023-02-01,266.4,1.3764,103.8492
"Ang Mo Kio",2023-03-01,401.8,1.3764,103.8492
"Ang Mo Kio",2023-04-01,220.8,1.3764,103.8492
"Ang Mo Kio",2023-05-01,150.1,1.3764,103.8492
"Ang Mo Kio",2023-06-01,143,1.3764,103.8492
"Ang Mo Kio",2023-07-01,182.6,1.3764,103.8492
"Ang Mo Kio",2023-08-01,171.6,1.3764,103.8492
"Ang Mo Kio",2023-09-01,278.2,1.3764,103.8492
"Ang Mo Kio",2023-10-01,123,1.3764,103.8492
"Ang Mo Kio",2023-11-01,304.8,1.3764,103.8492
"Ang Mo Kio",2023-12-01,443,1.3764,103.8492
"Ang Mo Kio",2024-01-01,366,1.3764,103.8492
"Ang Mo Kio",2024-02-01,150,1.3764,103.8492
"Ang Mo Kio",2024-03-01,128,1.3764,103.8492
"Ang Mo Kio",2024-04-01,312,1.3764,103.8492
"Ang Mo Kio",2024-05-01,377.8,1.3764,103.8492
"Ang Mo Kio",2024-06-01,213.4,1.3764,103.8492
"Ang Mo Kio",2024-07-01,68.6,1.3764,103.8492
"Ang Mo Kio",2024-08-01,69,1.3764,103.8492
"Ang Mo Kio",2024-09-01,202.6,1.3764,103.8492
"Ang Mo Kio",2024-10-01,158,1.3764,103.8492
"Ang Mo Kio",2024-11-01,479.2,1.3764,103.8492
"Ang Mo Kio",2024-12-01,174.2,1.3764,103.8492
"Botanic Garden",2018-01-01,403.8,1.3087,103.818
"Botanic Garden",2018-02-01,22.2,1.3087,103.818
"Botanic Garden",2018-03-01,222,1.3087,103.818
"Botanic Garden",2018-04-01,228.6,1.3087,103.818
"Botanic Garden",2018-05-01,219,1.3087,103.818
"Botanic Garden",2018-06-01,296.2,1.3087,103.818
"Botanic Garden",2018-07-01,95.2,1.3087,103.818
"Botanic Garden",2018-08-01,119.8,1.3087,103.818
"Botanic Garden",2018-09-01,226.8,1.3087,103.818
"Botanic Garden",2018-10-01,200.2,1.3087,103.818
"Botanic Garden",2018-11-01,395.8,1.3087,103.818
"Botanic Garden",2018-12-01,365.6,1.3087,103.818
"Botanic Garden",2019-01-01,89.6,1.3087,103.818
"Botanic Garden",2019-02-01,19.2,1.3087,103.818
"Botanic Garden",2019-03-01,78.2,1.3087,103.818
"Botanic Garden",2019-04-01,280.2,1.3087,103.818
"Botanic Garden",2019-05-01,193.2,1.3087,103.818
"Botanic Garden",2019-06-01,241,1.3087,103.818
"Botanic Garden",2019-07-01,104,1.3087,103.818
"Botanic Garden",2019-08-01,42.8,1.3087,103.818
"Botanic Garden",2019-09-01,96,1.3087,103.818
"Botanic Garden",2019-10-01,140.8,1.3087,103.818
"Botanic Garden",2019-11-01,182.8,1.3087,103.818
"Botanic Garden",2019-12-01,322.8,1.3087,103.818
"Botanic Garden",2021-01-01,437,1.3087,103.818
"Botanic Garden",2021-02-01,22.4,1.3087,103.818
"Botanic Garden",2021-03-01,314.8,1.3087,103.818
"Botanic Garden",2021-04-01,355.4,1.3087,103.818
"Botanic Garden",2021-05-01,243,1.3087,103.818
"Botanic Garden",2021-06-01,190.2,1.3087,103.818
"Botanic Garden",2021-07-01,248,1.3087,103.818
"Botanic Garden",2021-08-01,399.4,1.3087,103.818
"Botanic Garden",2021-09-01,275.2,1.3087,103.818
"Botanic Garden",2021-10-01,169.2,1.3087,103.818
"Botanic Garden",2021-11-01,299,1.3087,103.818
"Botanic Garden",2021-12-01,198.4,1.3087,103.818
"Botanic Garden",2022-01-01,183.4,1.3087,103.818
"Botanic Garden",2022-02-01,211.2,1.3087,103.818
"Botanic Garden",2022-03-01,266.8,1.3087,103.818
"Botanic Garden",2022-04-01,327,1.3087,103.818
"Botanic Garden",2022-05-01,269,1.3087,103.818
"Botanic Garden",2022-06-01,311.4,1.3087,103.818
"Botanic Garden",2022-07-01,99.2,1.3087,103.818
"Botanic Garden",2022-08-01,179.8,1.3087,103.818
"Botanic Garden",2022-09-01,284.2,1.3087,103.818
"Botanic Garden",2022-10-01,439.6,1.3087,103.818
"Botanic Garden",2022-11-01,363.8,1.3087,103.818
"Botanic Garden",2022-12-01,323.2,1.3087,103.818
"Botanic Garden",2023-01-01,290.7,1.3087,103.818
"Botanic Garden",2023-02-01,397.6,1.3087,103.818
"Botanic Garden",2023-03-01,347,1.3087,103.818
"Botanic Garden",2023-04-01,172,1.3087,103.818
"Botanic Garden",2023-05-01,141,1.3087,103.818
"Botanic Garden",2023-06-01,282.2,1.3087,103.818
"Botanic Garden",2023-07-01,324.2,1.3087,103.818
"Botanic Garden",2023-08-01,85.4,1.3087,103.818
"Botanic Garden",2023-09-01,216.6,1.3087,103.818
"Botanic Garden",2023-10-01,171,1.3087,103.818
"Botanic Garden",2023-11-01,292.8,1.3087,103.818
"Botanic Garden",2023-12-01,437,1.3087,103.818
"Botanic Garden",2024-01-01,404.4,1.3087,103.818
"Botanic Garden",2024-02-01,173.6,1.3087,103.818
"Buangkok",2018-01-01,401.4,1.3837,103.886
"Buangkok",2018-02-01,17,1.3837,103.886
"Buangkok",2018-03-01,69.8,1.3837,103.886
"Buangkok",2018-04-01,154.2,1.3837,103.886
"Buangkok",2018-05-01,249.6,1.3837,103.886
"Buangkok",2018-06-01,241.8,1.3837,103.886
"Buangkok",2018-07-01,107.6,1.3837,103.886
"Buangkok",2018-08-01,123.2,1.3837,103.886
"Buangkok",2018-09-01,211.2,1.3837,103.886
"Buangkok",2018-10-01,291.8,1.3837,103.886
"Buangkok",2018-11-01,286,1.3837,103.886
"Buangkok",2018-12-01,281.8,1.3837,103.886
"Buangkok",2019-01-01,95.2,1.3837,103.886
"Buangkok",2019-02-01,92,1.3837,103.886
"Bukit Panjang",2018-01-01,400.4,1.3824,103.7603
"Bukit Panjang",2018-02-01,48.6,1.3824,103.7603
"Bukit Panjang",2018-03-01,144.8,1.3824,103.7603
"Bukit Panjang",2018-04-01,254,1.3824,103.7603
"Bukit Panjang",2018-05-01,195,1.3824,103.7603
"Bukit Panjang",2018-06-01,298,1.3824,103.7603
"Bukit Panjang",2018-07-01,117.6,1.3824,103.7603
"Bukit Panjang",2018-08-01,128.8,1.3824,103.7603
"Bukit Panjang",2018-09-01,150.8,1.3824,103.7603
"Bukit Panjang",2018-10-01,369.6,1.3824,103.7603
"Bukit Panjang",2018-11-01,399.2,1.3824,103.7603
"Bukit Panjang",2018-12-01,181,1.3824,103.7603
"Bukit Panjang",2019-01-01,84.6,1.3824,103.7603
"Bukit Panjang",2019-02-01,66.2,1.3824,103.7603
"Bukit Panjang",2019-03-01,194.4,1.3824,103.7603
"Bukit Panjang",2019-04-01,189.4,1.3824,103.7603
"Bukit Panjang",2019-05-01,231.2,1.3824,103.7603
"Bukit Panjang",2019-06-01,214.6,1.3824,103.7603
"Bukit Panjang",2019-07-01,84.6,1.3824,103.7603
"Bukit Panjang",2019-08-01,39.2,1.3824,103.7603
"Bukit Panjang",2019-09-01,111.2,1.3824,103.7603
"Bukit Panjang",2019-10-01,178.8,1.3824,103.7603
"Bukit Panjang",2019-11-01,245.4,1.3824,103.7603
"Bukit Panjang",2019-12-01,355.8,1.3824,103.7603
"Bukit Panjang",2020-01-01,71.6,1.3824,103.7603
"Bukit Panjang",2020-06-01,209.6,1.3824,103.7603
"Bukit Panjang",2020-07-01,257,1.3824,103.7603
"Bukit Panjang",2020-08-01,160.3,1.3824,103.7603
"Bukit Panjang",2020-09-01,351,1.3824,103.7603
"Bukit Panjang",2020-10-01,227,1.3824,103.7603
"Bukit Panjang",2020-11-01,288.5,1.3824,103.7603
"Bukit Panjang",2020-12-01,277.5,1.3824,103.7603
"Bukit Panjang",2021-01-01,439.5,1.3824,103.7603
"Bukit Panjang",2021-02-01,52,1.3824,103.7603
"Bukit Panjang",2021-03-01,373.8,1.3824,103.7603
"Bukit Panjang",2021-04-01,431,1.3824,103.7603
"Bukit Panjang",2021-05-01,267.8,1.3824,103.7603
"Bukit Panjang",2021-06-01,245,1.3824,103.7603
"Bukit Panjang",2021-07-01,293.8,1.3824,103.7603
"Bukit Panjang",2021-08-01,695.2,1.3824,103.7603
"Bukit Panjang",2021-09-01,335.6,1.3824,103.7603
"Bukit Panjang",2021-10-01,152.8,1.3824,103.7603
"Bukit Panjang",2021-11-01,181.4,1.3824,103.7603
"Bukit Panjang",2021-12-01,227.2,1.3824,103.7603
"Bukit Panjang",2022-01-01,133,1.3824,103.7603
"Bukit Panjang",2022-02-01,214,1.3824,103.7603
"Bukit Panjang",2022-03-01,353,1.3824,103.7603
"Bukit Panjang",2022-04-01,179,1.3824,103.7603
"Bukit Panjang",2022-05-01,209.4,1.3824,103.7603
"Bukit Panjang",2022-06-01,188,1.3824,103.7603
"Bukit Panjang",2022-07-01,178.4,1.3824,103.7603
"Bukit Panjang",2022-08-01,406.4,1.3824,103.7603
"Bukit Panjang",2022-09-01,258.2,1.3824,103.7603
"Bukit Panjang",2022-10-01,436.5,1.3824,103.7603
"Bukit Panjang",2022-11-01,353.4,1.3824,103.7603
"Bukit Panjang",2022-12-01,210.8,1.3824,103.7603
"Bukit Panjang",2023-01-01,203.2,1.3824,103.7603
"Bukit Panjang",2023-02-01,345.6,1.3824,103.7603
"Bukit Panjang",2023-03-01,382.8,1.3824,103.7603
"Bukit Panjang",2023-04-01,306.4,1.3824,103.7603
"Bukit Panjang",2023-05-01,153.4,1.3824,103.7603
"Bukit Panjang",2023-06-01,273.8,1.3824,103.7603
"Bukit Panjang",2023-07-01,245.8,1.3824,103.7603
"Bukit Panjang",2023-08-01,117.6,1.3824,103.7603
"Bukit Panjang",2023-09-01,192.8,1.3824,103.7603
"Bukit Panjang",2023-10-01,115.6,1.3824,103.7603
"Bukit Panjang",2023-11-01,367.8,1.3824,103.7603
"Bukit Panjang",2023-12-01,444.2,1.3824,103.7603
"Bukit Panjang",2024-01-01,376.6,1.3824,103.7603
"Bukit Panjang",2024-02-01,173.6,1.3824,103.7603
"Bukit Panjang",2024-03-01,203.6,1.3824,103.7603
"Bukit Panjang",2024-04-01,171.6,1.3824,103.7603
"Bukit Panjang",2024-05-01,301.6,1.3824,103.7603
"Bukit Panjang",2024-06-01,388,1.3824,103.7603
"Bukit Panjang",2024-07-01,107.4,1.3824,103.7603
"Bukit Panjang",2024-08-01,167.4,1.3824,103.7603
"Bukit Panjang",2024-09-01,230,1.3824,103.7603
"Bukit Panjang",2024-10-01,222.8,1.3824,103.7603
"Bukit Panjang",2024-11-01,452.2,1.3824,103.7603
"Bukit Panjang",2024-12-01,259.4,1.3824,103.7603
"Bukit Timah",2018-01-01,310.8,1.3191,103.8191
"Bukit Timah",2018-02-01,25.4,1.3191,103.8191
"Bukit Timah",2018-03-01,189.2,1.3191,103.8191
"Bukit Timah",2018-04-01,261.2,1.3191,103.8191
"Bukit Timah",2018-05-01,205.4,1.3191,103.8191
"Bukit Timah",2018-06-01,241.2,1.3191,103.8191
"Bukit Timah",2018-07-01,106.2,1.3191,103.8191
"Bukit Timah",2018-08-01,101.6,1.3191,103.8191
"Bukit Timah",2018-09-01,240,1.3191,103.8191
"Bukit Timah",2018-10-01,244.4,1.3191,103.8191
"Bukit Timah",2018-11-01,407.8,1.3191,103.8191
"Bukit Timah",2018-12-01,391,1.3191,103.8191
"Bukit Timah",2019-01-01,101.2,1.3191,103.8191
"Bukit Timah",2019-02-01,22,1.3191,103.8191
"Bukit Timah",2019-03-01,94.2,1.3191,103.8191
"Bukit Timah",2019-04-01,234.4,1.3191,103.8191
"Bukit Timah",2019-05-01,171.2,1.3191,103.8191
"Bukit Timah",2019-06-01,243.6,1.3191,103.8191
"Bukit Timah",2019-07-01,85.2,1.3191,103.8191
"Bukit Timah",2019-08-01,46,1.3191,103.8191
"Bukit Timah",2019-09-01,77.4,1.3191,103.8191
"Bukit Timah",2019-10-01,152.4,1.3191,103.8191
"Bukit Timah",2019-11-01,191.6,1.3191,103.8191
"Bukit Timah",2019-12-01,280,1.3191,103.8191
"Bukit Timah",2020-01-01,94.2,1.3191,103.8191
"Bukit Timah",2020-02-01,107,1.3191,103.8191
"Bukit Timah",2020-03-01,172.6,1.3191,103.8191
"Bukit Timah",2020-04-01,227,1.3191,103.8191
"Bukit Timah",2020-05-01,299.2,1.3191,103.8191
"Bukit Timah",2020-06-01,342.8,1.3191,103.8191
"Bukit Timah",2020-07-01,149.4,1.3191,103.8191
"Bukit Timah",2020-08-01,213.6,1.3191,103.8191
"Bukit Timah",2020-09-01,299.2,1.3191,103.8191
"Bukit Timah",2020-10-01,172.8,1.3191,103.8191
"Bukit Timah",2020-11-01,233.6,1.3191,103.8191
"Bukit Timah",2020-12-01,248.4,1.3191,103.8191
"Bukit Timah",2021-01-01,424.2,1.3191,103.8191
"Bukit Timah",2021-02-01,17.8,1.3191,103.8191
"Bukit Timah",2021-03-01,324.2,1.3191,103.8191
"Bukit Timah",2021-04-01,359.2,1.3191,103.8191
"Bukit Timah",2021-05-01,242,1.3191,103.8191
"Bukit Timah",2021-06-01,173.8,1.3191,103.8191
"Bukit Timah",2021-07-01,272.2,1.3191,103.8191
"Bukit Timah",2021-08-01,428.6,1.3191,103.8191
"Bukit Timah",2021-09-01,276.2,1.3191,103.8191
"Bukit Timah",2021-10-01,166.4,1.3191,103.8191
"Bukit Timah",2021-11-01,308.6,1.3191,103.8191
"Bukit Timah",2021-12-01,178.6,1.3191,103.8191
"Bukit Timah",2022-01-01,190.6,1.3191,103.8191
"Bukit Timah",2022-02-01,184.6,1.3191,103.8191
"Bukit Timah",2022-03-01,264,1.3191,103.8191
"Bukit Timah",2022-04-01,247.6,1.3191,103.8191
"Bukit Timah",2022-05-01,265.6,1.3191,103.8191
"Bukit Timah",2022-06-01,262.4,1.3191,103.8191
"Bukit Timah",2022-07-01,106.6,1.3191,103.8191
"Bukit Timah",2022-08-01,222,1.3191,103.8191
"Bukit Timah",2022-09-01,302.6,1.3191,103.8191
"Bukit Timah",2022-10-01,439.8,1.3191,103.8191
"Bukit Timah",2022-11-01,400.6,1.3191,103.8191
"Bukit Timah",2022-12-01,288.6,1.3191,103.8191
"Bukit Timah",2023-01-01,238.8,1.3191,103.8191
"Bukit Timah",2023-02-01,397.8,1.3191,103.8191
"Bukit Timah",2023-03-01,334.2,1.3191,103.8191
"Bukit Timah",2023-04-01,142.8,1.3191,103.8191
"Bukit Timah",2023-05-01,180.6,1.3191,103.8191
"Bukit Timah",2023-06-01,308,1.3191,103.8191
"Bukit Timah",2023-07-01,317.8,1.3191,103.8191
"Bukit Timah",2023-08-01,76.6,1.3191,103.8191
"Bukit Timah",2023-09-01,190.2,1.3191,103.8191
"Bukit Timah",2023-10-01,154.4,1.3191,103.8191
"Bukit Timah",2023-11-01,285.6,1.3191,103.8191
"Bukit Timah",2023-12-01,407,1.3191,103.8191
"Bukit Timah",2024-01-01,360.8,1.3191,103.8191
"Bukit Timah",2024-02-01,162.2,1.3191,103.8191
"Bukit Timah",2024-03-01,161.8,1.3191,103.8191
"Bukit Timah",2024-04-01,201.2,1.3191,103.8191
"Bukit Timah",2024-05-01,212.4,1.3191,103.8191
"Bukit Timah",2024-06-01,269.8,1.3191,103.8191
"Bukit Timah",2024-07-01,53.4,1.3191,103.8191
"Bukit Timah",2024-08-01,131.4,1.3191,103.8191
"Bukit Timah",2024-09-01,245.8,1.3191,103.8191
"Bukit Timah",2024-10-01,215.8,1.3191,103.8191
"Bukit Timah",2024-11-01,419.8,1.3191,103.8191
"Bukit Timah",2024-12-01,297.6,1.3191,103.8191
"Buona Vista",2018-01-01,318.2,1.2841,103.7886
"Buona Vista",2018-02-01,43.4,1.2841,103.7886
"Buona Vista",2018-03-01,207.2,1.2841,103.7886
"Buona Vista",2018-04-01,217.4,1.2841,103.7886
"Buona Vista",2018-05-01,206.1,1.2841,103.7886
"Buona Vista",2018-06-01,231.8,1.2841,103.7886
"Buona Vista",2018-07-01,76.2,1.2841,103.7886
"Buona Vista",2018-08-01,125,1.2841,103.7886
"Buona Vista",2018-09-01,162,1.2841,103.7886
"Buona Vista",2018-10-01,184.8,1.2841,103.7886
"Buona Vista",2018-11-01,339.2,1.2841,103.7886
"Buona Vista",2018-12-01,247.2,1.2841,103.7886
"Buona Vista",2019-01-01,91.6,1.2841,103.7886
"Buona Vista",2019-02-01,30.4,1.2841,103.7886
"Buona Vista",2019-03-01,53.6,1.2841,103.7886
"Buona Vista",2019-04-01,220.8,1.2841,103.7886
"Buona Vista",2019-05-01,234.6,1.2841,103.7886
"Buona Vista",2019-06-01,225.8,1.2841,103.7886
"Buona Vista",2019-07-01,53.8,1.2841,103.7886
"Buona Vista",2019-08-01,19.9,1.2841,103.7886
"Buona Vista",2019-09-01,169.8,1.2841,103.7886
"Buona Vista",2019-10-01,133.8,1.2841,103.7886
"Buona Vista",2019-11-01,235.6,1.2841,103.7886
"Buona Vista",2019-12-01,196.4,1.2841,103.7886
"Buona Vista",2020-01-01,202,1.2841,103.7886
"Buona Vista",2020-02-01,99.8,1.2841,103.7886
"Buona Vista",2020-03-01,116.9,1.2841,103.7886
"Buona Vista",2020-04-01,299,1.2841,103.7886
"Buona Vista",2020-05-01,241.8,1.2841,103.7886
"Buona Vista",2020-06-01,307.4,1.2841,103.7886
"Buona Vista",2020-07-01,260,1.2841,103.7886
"Buona Vista",2020-08-01,132.8,1.2841,103.7886
"Buona Vista",2020-09-01,409.4,1.2841,103.7886
"Buona Vista",2020-10-01,147.6,1.2841,103.7886
"Buona Vista",2020-11-01,217,1.2841,103.7886
"Buona Vista",2020-12-01,242.6,1.2841,103.7886
"Buona Vista",2021-01-01,128.6,1.2841,103.7886
"Buona Vista",2021-02-01,74,1.2841,103.7886
"Buona Vista",2021-03-01,457.6,1.2841,103.7886
"Buona Vista",2021-04-01,316.3,1.2841,103.7886
"Buona Vista",2021-05-01,258.5,1.2841,103.7886
"Buona Vista",2021-06-01,89,1.2841,103.7886
"Buona Vista",2021-07-01,24,1.2841,103.7886
"Buona Vista",2021-08-01,0,1.2841,103.7886
